time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003696,0.4586,-0.1470,-0.0696,0.487
0.004486,0.4116,-0.1962,-0.1374,0.476
0.005283,0.3245,-0.1944,-0.2102,0.433
0.009125,0.2445,-0.1818,-0.2570,0.399
0.012802,0.1169,-0.1730,-0.2878,0.356
0.020475,0.0274,-0.1481,-0.3293,0.362
0.021758,-0.0840,-0.1226,-0.3429,0.374
0.027050,-0.1623,-0.1011,-0.3123,0.366
0.035150,-0.2198,-0.0585,-0.2658,0.350
0.036800,-0.2366,0.0009,-0.2128,0.318
0.041540,-0.2215,0.0417,-0.1169,0.254
0.046623,-0.2303,0.0946,-0.0281,0.251
0.052076,-0.2039,0.1056,0.0368,0.233
0.056829,-0.1316,0.1333,0.0780,0.203
0.061770,-0.0706,0.1283,0.1128,0.185
0.073261,-0.0489,0.1216,0.1433,0.194
0.073850,-0.0249,0.1012,0.1645,0.195
0.076770,-0.0209,0.0685,0.1835,0.197
0.082423,-0.0734,0.0457,0.1595,0.181
0.086951,-0.1182,0.0175,0.1519,0.193
0.091820,-0.1221,-0.0108,0.0889,0.151
0.099008,-0.1145,-0.0540,0.0522,0.137
0.101605,-0.1127,-0.0961,-0.0229,0.150
0.106610,-0.0708,-0.1110,-0.0644,0.147
0.111818,-0.0325,-0.1466,-0.1081,0.185
0.116754,0.0199,-0.1650,-0.1300,0.211
0.121762,0.0755,-0.1653,-0.1182,0.217
0.126477,0.1202,-0.1608,-0.1299,0.239
0.132086,0.1546,-0.1211,-0.1580,0.252
0.136265,0.1509,-0.0993,-0.1283,0.222
0.141947,0.1297,-0.0793,-0.1634,0.223
0.147886,0.1179,-0.0228,-0.1243,0.173
0.151542,0.0696,0.0384,-0.0901,0.120
0.156817,0.0113,0.0922,-0.0299,0.098
0.161481,-0.0080,0.0892,-0.0035,0.090
0.166386,-0.0619,0.1177,-0.0204,0.135
0.171661,-0.0566,0.1295,0.0390,0.147
0.176178,-0.0593,0.1382,0.0793,0.170
0.190065,-0.0361,0.1175,0.1006,0.159
0.190773,-0.0710,0.1082,0.1485,0.197
0.191375,-0.0705,0.0661,0.1531,0.181
0.197664,-0.0377,-0.0035,0.1002,0.107
0.201147,-0.0040,-0.0579,0.0499,0.077
0.206099,0.0336,-0.0626,-0.0050,0.071
0.211270,0.0224,-0.0670,-0.0908,0.115
0.216027,0.0652,-0.0308,-0.1935,0.206
0.221504,0.0695,-0.0167,-0.2862,0.295
0.226412,0.1035,-0.0062,-0.3862,0.400
0.231858,0.1315,-0.0059,-0.3687,0.391
0.236642,0.1400,-0.0239,-0.3152,0.346
0.241164,0.0802,-0.0252,-0.2308,0.246
0.247533,0.0196,0.0029,-0.1375,0.139
0.253814,-0.0043,0.0028,-0.0567,0.057
0.256317,-0.0262,0.0222,0.0432,0.055
0.261262,-0.0400,0.0112,0.1477,0.153
0.269073,-0.0397,-0.0158,0.2068,0.211
0.270853,-0.0578,-0.0124,0.2421,0.249
0.275761,-0.0278,0.0093,0.2606,0.262
0.289410,-0.0378,0.0066,0.2054,0.209
0.290189,0.0095,-0.0013,0.1334,0.134
0.290776,0.0527,-0.0163,0.0738,0.092
0.296813,0.0757,-0.0021,0.0001,0.076
0.300510,0.0368,-0.0108,-0.0375,0.054
0.305840,0.0370,-0.0400,-0.0226,0.059
0.312241,0.0177,-0.0305,-0.0246,0.043
0.315465,-0.0320,-0.0286,-0.0075,0.044
0.320375,-0.0594,-0.0242,0.0189,0.067
0.325238,-0.1427,-0.0079,-0.0148,0.144
0.330416,-0.1527,-0.0098,-0.0585,0.164
0.335733,-0.1623,0.0099,-0.0999,0.191
0.340039,-0.1781,0.0087,-0.0935,0.201
0.347099,-0.1609,0.0193,-0.1015,0.191
0.351535,-0.1323,0.0267,-0.1239,0.183
0.355126,-0.1148,0.0693,-0.1557,0.205
0.361951,-0.0886,0.0532,-0.1633,0.193
0.366824,-0.0443,0.0336,-0.1349,0.146
0.370360,-0.0169,0.0732,-0.1040,0.128
0.375125,0.0619,0.0499,-0.0944,0.123
0.385523,0.1058,0.0453,-0.0771,0.139
0.386456,0.1371,0.0220,0.0026,0.139
0.390149,0.1547,0.0293,0.0442,0.164
0.395615,0.1546,-0.0026,0.0691,0.169
0.399971,0.1425,-0.0417,0.0868,0.172
0.405210,0.1410,-0.0453,0.0924,0.175
0.410891,0.1178,0.0390,0.0190,0.126
0.414846,0.0790,0.0461,0.0008,0.091
0.419851,0.0505,0.0716,-0.0847,0.122
0.425406,0.0548,0.0735,-0.1655,0.189
