time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004861,0.0154,0.0125,0.0173,0.026
0.005715,-0.0066,-0.0272,0.0023,0.028
0.006381,-0.0382,-0.0968,-0.0087,0.104
0.006988,-0.0891,-0.1603,-0.0257,0.185
0.011351,-0.1375,-0.1633,0.0166,0.214
0.022321,-0.1621,-0.2021,0.0920,0.275
0.022953,-0.1965,-0.1872,0.1065,0.292
0.025828,-0.2882,-0.1429,0.1566,0.358
0.038293,-0.3559,-0.0622,0.2109,0.418
0.038949,-0.4092,0.0040,0.1968,0.454
0.044692,-0.4360,0.0023,0.1683,0.467
0.056229,-0.4435,0.0439,0.1937,0.486
0.056851,-0.4413,0.0651,0.2351,0.504
0.057360,-0.4296,0.0631,0.2264,0.490
0.060847,-0.3891,0.0494,0.1697,0.427
0.071987,-0.3077,0.0661,0.1318,0.341
0.072612,-0.2479,0.0239,0.1345,0.283
0.075428,-0.1857,0.0408,0.0951,0.213
0.088161,-0.1545,0.0300,0.0720,0.173
0.088846,-0.0899,-0.0014,0.0130,0.091
0.090778,-0.0252,-0.0346,-0.0217,0.048
0.104371,-0.0157,-0.0527,-0.0297,0.062
0.105055,0.0011,-0.0835,-0.0513,0.098
0.105647,0.0202,-0.0732,-0.0540,0.093
0.110385,-0.0156,-0.0517,-0.0635,0.083
0.121175,-0.0227,-0.0129,-0.0626,0.068
0.121878,-0.0058,-0.0084,-0.0811,0.082
0.125628,0.0255,0.0655,-0.0556,0.090
0.137820,0.0353,0.1091,-0.0645,0.132
0.138472,0.0666,0.1325,-0.0621,0.161
0.140707,0.0932,0.1398,-0.0016,0.168
0.152913,0.0957,0.1608,0.0449,0.192
0.153485,0.0862,0.1679,0.1007,0.214
0.157852,0.0646,0.1481,0.1390,0.213
0.170423,0.0285,0.1202,0.1426,0.189
0.171128,0.0021,0.0776,0.1603,0.178
0.171986,-0.0699,0.0695,0.1861,0.211
0.177182,-0.1204,0.0784,0.1789,0.229
0.185866,-0.1588,0.0864,0.1511,0.236
0.186471,-0.1780,0.1101,0.1261,0.244
0.189806,-0.1995,0.1340,0.1108,0.265
0.202310,-0.2066,0.1220,0.0806,0.253
0.202944,-0.2424,0.1205,0.0965,0.287
0.204906,-0.2806,0.1428,0.1257,0.339
0.218522,-0.2900,0.0745,0.1077,0.318
0.218969,-0.2923,0.0673,0.0535,0.305
0.220096,-0.2994,0.0511,0.0430,0.307
0.224855,-0.2347,0.0220,0.0581,0.243
0.234435,-0.1963,0.0361,0.0558,0.207
0.234927,-0.1891,0.0078,0.0231,0.191
0.239893,-0.1460,0.0155,0.0318,0.150
0.250114,-0.1005,0.0032,-0.0034,0.101
0.250452,-0.0693,-0.0416,-0.0312,0.087
0.254413,-0.0215,-0.0374,-0.0280,0.051
0.264786,0.0048,-0.0670,-0.0324,0.075
0.265068,0.0335,-0.0849,-0.1086,0.142
0.270146,0.0717,-0.1489,-0.1618,0.231
0.274410,0.0884,-0.1644,-0.1899,0.266
0.282862,0.1291,-0.2170,-0.2166,0.333
0.283874,0.0860,-0.2460,-0.2465,0.359
0.289124,0.0836,-0.2607,-0.2439,0.367
0.300530,0.0718,-0.2506,-0.2762,0.380
0.301001,0.0313,-0.2364,-0.2586,0.352
0.304022,-0.0307,-0.2375,-0.2435,0.341
0.318065,-0.0662,-0.2313,-0.2184,0.325
0.318696,-0.0564,-0.2111,-0.1631,0.273
0.319232,-0.0538,-0.1732,-0.1017,0.208
0.324446,-0.0729,-0.1579,-0.0419,0.179
0.334240,-0.0418,-0.1463,-0.0116,0.153
0.334962,-0.0300,-0.1381,0.0213,0.143
0.339929,0.0057,-0.1691,0.0395,0.174
0.351489,-0.0160,-0.1402,0.0329,0.145
0.352578,-0.0137,-0.1355,-0.0010,0.136
0.354036,-0.0281,-0.1124,0.0095,0.116
0.368356,-0.0736,-0.0870,-0.0201,0.116
0.369362,-0.1382,-0.0568,-0.0288,0.152
0.370018,-0.1596,-0.0414,-0.0255,0.167
0.385388,-0.1619,-0.0131,-0.0857,0.184
0.386028,-0.1951,-0.0069,-0.1349,0.237
0.386522,-0.2067,0.0148,-0.1811,0.275
0.389029,-0.1941,-0.0084,-0.2159,0.290
0.401026,-0.2030,0.0037,-0.2050,0.289
0.401726,-0.2047,0.0265,-0.1981,0.286
0.404197,-0.1921,0.0257,-0.1472,0.243
0.417541,-0.1868,0.0894,-0.1183,0.238
0.418224,-0.1696,0.1137,-0.0976,0.226
0.418981,-0.1454,0.1957,-0.0673,0.253
0.423647,-0.1165,0.2061,-0.0185,0.238
0.433450,-0.0998,0.2037,-0.0291,0.229
0.434189,-0.1116,0.2276,-0.0189,0.254
0.439602,-0.1162,0.2492,-0.0110,0.275
0.451137,-0.1566,0.2452,-0.0268,0.292
0.452143,-0.1872,0.2007,-0.0446,0.278
0.453778,-0.1867,0.1791,-0.0771,0.270
0.467591,-0.2003,0.1589,-0.0921,0.272
0.468676,-0.2162,0.1257,-0.1179,0.276
0.469422,-0.1913,0.0642,-0.1087,0.229
0.473290,-0.1570,0.0339,-0.1135,0.197
0.483129,-0.1324,-0.0465,-0.0619,0.153
0.484207,-0.0794,-0.0578,0.0081,0.099
0.488755,-0.0459,-0.0589,0.0354,0.083
0.496552,-0.0413,-0.0602,0.1077,0.130
0.498129,-0.0346,-0.0954,0.1956,0.220
0.503267,-0.0307,-0.0491,0.2911,0.297
0.513005,-0.0676,-0.0048,0.3703,0.376
0.513471,-0.0830,-0.0056,0.4236,0.432
0.522231,-0.1128,0.0103,0.4552,0.469
0.523511,-0.1616,0.0074,0.4724,0.499
0.530767,-0.1983,0.0426,0.4855,0.526
0.532916,-0.2516,-0.0020,0.5088,0.568
0.538412,-0.2617,-0.0456,0.5102,0.575
0.546732,-0.2216,-0.1142,0.5077,0.566
0.548498,-0.2341,-0.1868,0.4876,0.572
0.552978,-0.1989,-0.2150,0.4529,0.539
0.562534,-0.1539,-0.2842,0.4360,0.543
0.563019,-0.1019,-0.2830,0.4477,0.539
0.567993,-0.0498,-0.3180,0.4522,0.555
0.581679,-0.0455,-0.3217,0.4242,0.534
0.582341,-0.0388,-0.3305,0.4575,0.566
0.582907,-0.0225,-0.3244,0.4634,0.566
0.587918,-0.0515,-0.3125,0.4369,0.540
0.597700,-0.0422,-0.3016,0.3781,0.485
0.598192,-0.0592,-0.2895,0.3497,0.458
0.602733,-0.0761,-0.2473,0.3506,0.436
0.614129,-0.0786,-0.2014,0.3253,0.391
0.614885,-0.0523,-0.1021,0.3303,0.350
0.617659,-0.0044,-0.0109,0.3392,0.339
0.632355,0.0054,0.0751,0.3660,0.374
0.633211,0.0751,0.1111,0.3947,0.417
0.633919,0.1305,0.1739,0.4210,0.474
0.637517,0.1309,0.1913,0.3994,0.462
0.646198,0.1411,0.2058,0.3843,0.458
0.647382,0.1609,0.1915,0.3682,0.445
0.652382,0.1328,0.1364,0.3251,0.377
0.661966,0.1213,0.0895,0.2645,0.305
0.663382,0.1266,0.0280,0.1402,0.191
0.667269,0.0646,-0.0346,0.0293,0.079
0.681862,-0.0047,-0.0965,-0.0934,0.134
0.682717,-0.0860,-0.1317,-0.2392,0.286
0.683437,-0.1480,-0.1475,-0.3340,0.394
0.687369,-0.2000,-0.1745,-0.4089,0.487
0.698651,-0.2659,-0.1684,-0.4967,0.588
0.699515,-0.3072,-0.1705,-0.5601,0.661
0.702678,-0.3430,-0.1173,-0.5801,0.684
0.714957,-0.3852,-0.1027,-0.6139,0.732
0.716110,-0.3668,-0.0465,-0.5908,0.697
0.716886,-0.3814,0.0265,-0.5907,0.704
0.731081,-0.3739,0.0714,-0.5656,0.682
0.732272,-0.3611,0.1098,-0.5208,0.643
0.733048,-0.3028,0.1904,-0.4816,0.600
0.745745,-0.2657,0.2115,-0.4811,0.589
0.746577,-0.2404,0.2237,-0.4802,0.582
0.747255,-0.1885,0.2828,-0.4620,0.574
0.752130,-0.1388,0.3153,-0.4407,0.559
0.762411,-0.1250,0.3282,-0.4310,0.556
0.763276,-0.1232,0.2944,-0.4372,0.541
0.766838,-0.0976,0.3065,-0.4289,0.536
0.781018,-0.1225,0.2888,-0.4174,0.522
0.781957,-0.1284,0.2655,-0.3660,0.470
0.782694,-0.1088,0.2014,-0.3454,0.414
0.796467,-0.0421,0.1427,-0.3266,0.359
0.797346,0.0023,0.0682,-0.3093,0.317
0.798118,0.0458,0.0077,-0.3476,0.351
0.801673,0.0677,-0.0546,-0.3861,0.396
0.812924,0.0490,-0.0827,-0.4244,0.435
0.813809,0.0209,-0.0793,-0.5410,0.547
0.816880,-0.0011,-0.1069,-0.5937,0.603
0.829465,0.0300,-0.1172,-0.5766,0.589
0.830305,0.1322,-0.1019,-0.4771,0.505
0.831645,0.2257,-0.0703,-0.3481,0.421
0.843781,0.3319,-0.0239,-0.1808,0.379
0.844617,0.3930,0.0361,-0.0467,0.397
0.846461,0.3811,0.0941,0.0410,0.395
0.851413,0.3973,0.1289,0.0701,0.423
0.860858,0.3847,0.1210,0.0952,0.414
0.861779,0.3311,0.1025,0.0990,0.360
0.866286,0.2224,0.0380,0.1101,0.251
0.880138,0.1445,-0.0430,0.1882,0.241
0.881011,0.0654,-0.1292,0.2747,0.311
0.881710,-0.0461,-0.2609,0.3572,0.445
0.894925,-0.1181,-0.3433,0.4610,0.587
0.895859,-0.2055,-0.4404,0.5504,0.734
0.896618,-0.2961,-0.5295,0.6490,0.888
0.901694,-0.3633,-0.5392,0.7155,0.967
0.914276,-0.4158,-0.5772,0.7336,1.022
0.915036,-0.4605,-0.5619,0.7268,1.028
0.916550,-0.4610,-0.5098,0.6923,0.976
0.929115,-0.4531,-0.4460,0.6515,0.910
0.930012,-0.4536,-0.3454,0.5831,0.816
0.931103,-0.4385,-0.2686,0.4387,0.676
0.942878,-0.3836,-0.1893,0.3204,0.534
0.943885,-0.3228,-0.1032,0.2465,0.419
0.945899,-0.2518,-0.0414,0.1284,0.286
0.950825,-0.1872,-0.0015,0.0463,0.193
0.959399,-0.0957,0.0709,0.0203,0.121
0.962068,-0.0400,0.1256,0.0089,0.132
0.966308,0.0422,0.1283,-0.0510,0.144
0.976352,0.1126,0.1647,-0.0960,0.221
0.977286,0.1306,0.1985,-0.0842,0.252
0.981479,0.1341,0.2154,-0.1087,0.276
0.985969,0.1019,0.1952,-0.1281,0.255
0.997438,0.1031,0.2175,-0.0850,0.255
0.998316,0.0658,0.2381,-0.0904,0.263
1.010570,0.0261,0.2524,-0.0775,0.265
1.011415,-0.0352,0.2609,-0.0498,0.268
1.012432,-0.0966,0.2448,-0.0064,0.263
1.015521,-0.1751,0.2209,0.0517,0.287
1.027236,-0.2302,0.2225,0.0994,0.335
1.028332,-0.2831,0.1979,0.1807,0.390
1.030807,-0.3269,0.1876,0.2789,0.469
1.043538,-0.3449,0.1948,0.3164,0.507
1.044592,-0.3269,0.1823,0.3853,0.537
1.045278,-0.3426,0.1498,0.3923,0.542
1.058247,-0.3510,0.1202,0.3431,0.505
1.059121,-0.3328,0.1195,0.3194,0.476
1.060892,-0.3167,0.0904,0.2566,0.417
1.065369,-0.3028,0.0424,0.1843,0.357
1.074944,-0.2960,0.0036,0.1392,0.327
1.076027,-0.2317,-0.0200,0.0992,0.253
1.080574,-0.2177,-0.0821,0.0348,0.235
1.094708,-0.2014,-0.1003,0.0346,0.228
1.095511,-0.1683,-0.1242,-0.0003,0.209
1.096446,-0.1257,-0.1653,-0.0791,0.222
1.101403,-0.0734,-0.1884,-0.1167,0.233
1.110049,-0.0018,-0.2049,-0.1623,0.261
1.110887,0.0292,-0.2126,-0.1895,0.286
1.115127,0.0580,-0.2127,-0.2361,0.323
1.126223,0.1183,-0.2036,-0.2556,0.347
1.127004,0.1547,-0.1834,-0.2604,0.354
1.130175,0.1650,-0.1506,-0.2732,0.353
1.142680,0.1587,-0.1064,-0.2362,0.304
1.143479,0.1358,-0.0758,-0.1724,0.232
1.145435,0.0671,-0.0549,-0.1363,0.162
1.157951,0.0318,-0.0074,-0.1037,0.109
1.158828,-0.0106,0.0381,-0.0431,0.059
1.161381,-0.0221,0.0510,-0.0022,0.056
1.165531,-0.0696,0.0846,0.0547,0.122
1.174066,-0.1077,0.1272,0.0957,0.192
1.174970,-0.1362,0.1374,0.0905,0.214
1.180335,-0.1430,0.1589,0.0772,0.227
1.193206,-0.1496,0.1024,0.0943,0.204
1.194121,-0.1541,0.0846,0.0773,0.192
1.194875,-0.1586,0.0307,0.0479,0.168
1.209214,-0.1416,0.0151,0.0188,0.144
1.210051,-0.1438,-0.0370,0.0041,0.149
1.210799,-0.1245,-0.0556,0.0097,0.137
1.215547,-0.1054,-0.0796,0.0167,0.133
1.225270,-0.1105,-0.1299,0.0347,0.174
1.225986,-0.0943,-0.1138,0.0221,0.149
1.231618,-0.1092,-0.1207,0.0463,0.169
1.241807,-0.1169,-0.1344,0.0495,0.185
1.242561,-0.1247,-0.1209,0.0739,0.189
1.246304,-0.1302,-0.1089,0.0913,0.193
1.256316,-0.1524,-0.0530,0.1506,0.221
1.257161,-0.1819,-0.0477,0.1575,0.245
1.260643,-0.1682,-0.0049,0.1309,0.213
1.272984,-0.1829,0.0434,0.1453,0.238
1.273813,-0.1664,0.0347,0.1373,0.219
1.274486,-0.1833,0.0245,0.1331,0.228
1.279814,-0.1666,0.0365,0.1392,0.220
1.291897,-0.1404,0.0186,0.0755,0.160
1.292745,-0.1066,0.0144,0.0511,0.119
1.295962,-0.1207,-0.0108,0.0432,0.129
1.308425,-0.0965,-0.0245,0.0025,0.100
1.309308,-0.0841,-0.0249,-0.0184,0.090
1.309981,-0.0501,-0.0347,-0.0766,0.098
1.324739,-0.0422,-0.0434,-0.1046,0.121
1.325669,-0.0150,0.0015,-0.1261,0.127
1.326405,-0.0164,-0.0099,-0.1372,0.139
