time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003512,-0.1639,0.0209,0.0150,0.166
0.004162,-0.1615,0.0033,0.0379,0.166
0.004571,-0.1445,-0.0127,0.0541,0.155
0.013240,-0.1370,-0.0347,0.0481,0.149
0.013652,-0.1224,-0.0094,-0.0024,0.123
0.018104,-0.1176,-0.0127,0.0071,0.119
0.023388,-0.1177,-0.0303,-0.0198,0.123
0.028062,-0.0962,-0.0200,-0.0060,0.098
0.032938,-0.0771,-0.0084,-0.0315,0.084
0.038518,-0.0678,-0.0050,-0.0596,0.090
0.043116,-0.0562,-0.0072,-0.0424,0.071
0.047907,-0.0708,0.0123,-0.0605,0.094
0.053125,-0.0880,0.0064,-0.0438,0.098
0.058055,-0.1050,-0.0013,-0.0168,0.106
0.062892,-0.1171,0.0156,0.0197,0.120
0.072370,-0.1196,0.0336,0.0194,0.126
0.072784,-0.1269,0.0234,0.0119,0.130
0.077952,-0.1054,0.0289,0.0410,0.117
0.083036,-0.0911,0.0458,0.0509,0.114
0.088785,-0.1055,0.0493,0.0412,0.123
0.093425,-0.1319,0.0430,0.0349,0.143
0.098186,-0.1177,0.0298,0.0243,0.124
0.104070,-0.1106,0.0300,0.0436,0.123
0.108221,-0.0939,0.0399,0.0402,0.110
0.113079,-0.1227,0.0226,0.0109,0.125
0.120536,-0.1324,0.0020,0.0128,0.133
0.123011,-0.1086,-0.0024,0.0121,0.109
0.128247,-0.1182,0.0078,0.0165,0.120
0.133191,-0.1087,0.0004,0.0178,0.110
0.137999,-0.1231,-0.0015,0.0192,0.125
0.143503,-0.1280,-0.0154,0.0135,0.130
0.148065,-0.1352,-0.0207,0.0274,0.139
0.154269,-0.1183,-0.0231,0.0353,0.126
0.157687,-0.1015,-0.0491,0.0093,0.113
0.162919,-0.1205,-0.0420,-0.0046,0.128
0.168584,-0.1205,-0.0497,-0.0147,0.131
0.175461,-0.0966,-0.0401,-0.0120,0.105
0.178331,-0.0823,-0.0433,-0.0404,0.101
0.182736,-0.0872,-0.0440,-0.0187,0.100
0.187923,-0.0873,-0.0331,-0.0466,0.104
0.193106,-0.0708,-0.0254,-0.0364,0.084
0.197679,-0.0686,0.0056,-0.0176,0.071
0.202561,-0.0832,0.0100,-0.0077,0.084
0.207601,-0.0714,0.0308,-0.0014,0.078
0.212565,-0.0788,0.0499,-0.0008,0.093
0.218737,-0.1151,0.0626,-0.0172,0.132
0.222764,-0.1130,0.0722,0.0201,0.136
0.227594,-0.0966,0.0641,0.0133,0.117
0.232623,-0.1232,0.0666,-0.0169,0.141
0.237549,-0.1283,0.0738,-0.0064,0.148
0.242357,-0.1286,0.0446,-0.0062,0.136
0.247697,-0.1049,0.0371,-0.0130,0.112
0.252701,-0.1339,0.0350,0.0292,0.141
0.258068,-0.1172,0.0310,-0.0184,0.123
0.262451,-0.1223,-0.0086,-0.0400,0.129
0.273368,-0.1153,-0.0042,-0.0380,0.121
0.274130,-0.0891,0.0115,-0.1055,0.139
0.277462,-0.0824,-0.0102,-0.1409,0.164
0.283009,-0.0757,-0.0037,-0.0993,0.125
0.287461,-0.0449,0.0044,-0.0926,0.103
0.292774,-0.0309,0.0117,-0.1011,0.106
0.297503,-0.0624,0.0016,-0.0970,0.115
0.302442,-0.0508,0.0069,-0.0929,0.106
0.307801,-0.0583,0.0043,-0.0915,0.109
0.312337,-0.0706,0.0066,-0.0874,0.113
0.317829,-0.0733,0.0279,-0.1219,0.145
0.321981,-0.0858,0.0519,-0.1314,0.165
0.326886,-0.0673,0.0495,-0.1327,0.157
0.334197,-0.0942,0.0568,-0.1071,0.154
0.337046,-0.0995,0.0777,-0.0836,0.151
0.342160,-0.1144,0.1112,-0.0666,0.173
0.347614,-0.1222,0.0985,-0.0312,0.160
0.353130,-0.1395,0.1084,0.0038,0.177
0.357223,-0.1376,0.0959,0.0311,0.171
0.362059,-0.1405,0.1036,0.0495,0.181
0.371566,-0.1552,0.0842,0.0955,0.201
0.372486,-0.1483,0.0236,0.1262,0.196
0.376653,-0.1987,0.0260,0.1454,0.248
0.383888,-0.2131,0.0164,0.2117,0.301
0.386832,-0.2010,-0.0259,0.2112,0.293
0.392151,-0.1960,-0.0480,0.2023,0.286
0.396725,-0.2126,-0.0662,0.2409,0.328
0.401928,-0.2099,-0.0854,0.2414,0.331
0.407006,-0.2167,-0.0769,0.2364,0.330
0.411877,-0.2069,-0.0956,0.1947,0.300
0.416899,-0.1588,-0.1134,0.1649,0.255
0.421430,-0.1682,-0.0988,0.1386,0.239
0.426580,-0.1274,-0.0909,0.1172,0.196
0.433515,-0.1298,-0.0987,0.1151,0.200
0.436585,-0.1299,-0.0805,0.0919,0.178
0.441673,-0.1276,-0.0857,0.0803,0.173
0.446746,-0.1062,-0.0816,0.0773,0.155
0.451956,-0.1471,-0.0447,0.1251,0.198
0.456602,-0.1593,-0.0375,0.1378,0.214
0.461497,-0.1451,-0.0528,0.1090,0.189
0.466498,-0.1454,-0.0117,0.0877,0.170
0.471210,-0.1361,-0.0366,0.1115,0.180
0.476354,-0.1244,-0.0331,0.1023,0.164
0.486352,-0.1007,-0.0396,0.0627,0.125
0.487169,-0.0961,-0.0458,0.0217,0.109
0.491702,-0.0939,-0.0373,0.0342,0.107
0.498007,-0.0654,-0.0702,0.0547,0.110
0.500925,-0.0535,-0.0595,0.0660,0.104
0.505913,-0.0583,-0.0643,0.0756,0.115
0.510896,-0.0727,-0.0686,0.0961,0.139
0.516569,-0.0990,-0.0891,0.1311,0.187
0.523860,-0.0870,-0.0858,0.1434,0.188
0.525767,-0.1133,-0.0828,0.1210,0.185
0.532026,-0.0821,-0.0845,0.0881,0.147
0.536227,-0.0867,-0.1029,0.1415,0.195
0.541297,-0.0938,-0.1218,0.1107,0.189
0.546007,-0.1199,-0.1366,0.1129,0.214
0.553275,-0.0861,-0.0687,0.1073,0.154
0.555550,-0.0836,-0.1050,0.0748,0.154
0.560645,-0.0858,-0.1117,0.0660,0.156
0.565758,-0.0904,-0.0675,0.0765,0.136
0.570866,-0.0377,-0.0631,0.0731,0.104
0.576812,-0.0568,-0.0351,0.0380,0.077
0.584802,-0.0520,0.0004,0.0624,0.081
0.585570,-0.0330,0.0378,0.0789,0.093
0.592408,-0.0883,0.0315,0.0928,0.132
0.597402,-0.0767,0.0455,0.0946,0.130
0.602830,-0.0554,0.0634,0.1167,0.144
0.605519,-0.0654,0.0635,0.1502,0.176
0.610573,-0.0491,0.0450,0.1801,0.192
0.615625,-0.0566,0.0356,0.1711,0.184
0.620575,-0.0593,0.0442,0.1653,0.181
0.625941,-0.0668,-0.0026,0.1196,0.137
0.630756,-0.0358,-0.0401,0.1182,0.130
0.635637,-0.0286,-0.0575,0.1317,0.147
0.640354,-0.0358,-0.0517,0.0987,0.117
0.646884,-0.0285,-0.0698,0.0663,0.100
0.650395,-0.0188,-0.0859,0.0893,0.125
0.655805,0.0030,-0.0956,0.0672,0.117
0.661112,0.0057,-0.1089,0.0347,0.114
0.665171,-0.0131,-0.1304,0.0215,0.133
0.670604,-0.0151,-0.1328,0.0306,0.137
0.675171,-0.0027,-0.1613,0.0288,0.164
0.683638,-0.0188,-0.1728,-0.0352,0.177
0.685109,-0.0541,-0.1758,-0.0196,0.185
0.690144,-0.0653,-0.1641,0.0112,0.177
0.696287,-0.0766,-0.1463,0.0344,0.169
0.700167,-0.1263,-0.0873,0.0696,0.169
0.705313,-0.1379,-0.0571,0.0971,0.178
0.709994,-0.1520,-0.0417,0.1032,0.188
0.715142,-0.1638,0.0010,0.1138,0.199
0.720108,-0.1926,0.0352,0.1577,0.251
0.725988,-0.1712,0.0376,0.1672,0.242
0.730054,-0.1905,0.0638,0.1767,0.268
0.734840,-0.1668,0.0637,0.1741,0.249
0.739995,-0.1599,0.0753,0.1629,0.240
0.745625,-0.1746,0.1002,0.1246,0.237
0.749778,-0.1798,0.0990,0.1049,0.230
0.754825,-0.1610,0.0737,0.0707,0.191
0.759820,-0.1685,0.1104,0.0379,0.205
0.764778,-0.1617,0.1342,0.0593,0.218
0.769766,-0.1669,0.1007,0.0580,0.203
0.774790,-0.1625,0.1156,0.0577,0.208
0.782473,-0.1485,0.1364,0.0196,0.203
0.784597,-0.1609,0.1506,-0.0219,0.221
0.790210,-0.1445,0.1684,-0.0548,0.229
0.796017,-0.1138,0.1845,-0.0825,0.232
0.799758,-0.1045,0.1870,-0.0868,0.231
0.804785,-0.0737,0.1651,-0.1394,0.228
0.809585,-0.0427,0.1858,-0.1430,0.238
0.814780,-0.0333,0.1975,-0.1447,0.247
0.820411,-0.0142,0.1820,-0.1738,0.252
0.824562,0.0434,0.1798,-0.1939,0.268
0.829722,0.0627,0.1725,-0.2225,0.288
0.835446,0.0439,0.1972,-0.2400,0.314
0.838858,0.0610,0.1720,-0.2304,0.294
0.844699,0.0519,0.1104,-0.2227,0.254
0.849419,0.0118,0.1209,-0.1567,0.198
0.854140,-0.0069,0.0924,-0.1305,0.160
0.861222,-0.0137,0.0496,-0.1139,0.125
0.864506,-0.0708,0.0295,-0.0749,0.107
0.869402,-0.0848,0.0327,-0.0703,0.115
0.874331,-0.1084,0.0263,-0.0586,0.126
0.879850,-0.1153,-0.0156,-0.0451,0.125
0.885060,-0.1246,0.0011,-0.0473,0.133
0.889612,-0.0979,-0.0170,-0.0229,0.102
0.898661,-0.1288,-0.0722,-0.0438,0.154
0.899641,-0.1260,-0.0483,-0.0223,0.137
0.904256,-0.1090,-0.0600,-0.0341,0.129
0.910959,-0.1087,-0.0658,-0.0144,0.128
0.914071,-0.0630,-0.1168,-0.0277,0.136
0.919488,-0.0698,-0.1109,-0.0234,0.133
0.924348,-0.0791,-0.0600,0.0280,0.103
0.929473,-0.0528,-0.0591,0.0078,0.080
0.934601,-0.0503,-0.0391,-0.0038,0.064
0.938944,-0.0598,-0.0279,0.0019,0.066
0.944304,-0.0478,-0.0081,-0.0001,0.049
0.948994,-0.0598,0.0127,-0.0072,0.062
0.953691,-0.0335,0.0198,0.0054,0.039
0.960602,-0.0312,0.0265,0.0117,0.043
0.963761,-0.0409,-0.0099,0.0482,0.064
0.968911,-0.0339,-0.0119,0.0431,0.056
0.974002,-0.0030,-0.0472,0.0288,0.055
0.978629,0.0112,-0.0702,0.0348,0.079
0.983797,0.0231,-0.1200,0.0116,0.123
0.989311,0.0304,-0.0603,-0.0070,0.068
0.996759,0.0089,-0.0180,-0.0550,0.059
0.998385,-0.0125,-0.0538,-0.0679,0.088
1.003673,0.0213,-0.0340,0.0016,0.040
1.010044,-0.0003,-0.0017,0.0053,0.006
1.013702,-0.0267,-0.0201,-0.0081,0.034
1.018432,-0.0099,-0.0179,0.0134,0.025
1.023247,-0.0292,-0.0209,-0.0220,0.042
1.028881,-0.0172,-0.0498,-0.0184,0.056
1.033398,0.0188,-0.0213,-0.0059,0.029
1.038210,0.0307,-0.0264,0.0099,0.042
1.043736,0.0306,-0.0500,0.0168,0.061
1.048732,0.0496,-0.1243,0.0491,0.143
1.053459,0.0399,-0.1325,0.0426,0.145
1.058644,0.0638,-0.1207,0.0579,0.148
1.063118,0.0469,-0.1503,0.0496,0.165
1.068252,0.0132,-0.1532,0.0439,0.160
1.073219,0.0036,-0.1362,0.0549,0.147
1.078146,-0.0061,-0.1394,0.0759,0.159
1.083163,-0.0494,-0.1542,0.1040,0.192
1.088307,-0.0688,-0.1194,0.1149,0.179
1.095221,-0.0955,-0.1066,0.1456,0.204
1.099043,-0.1270,-0.0873,0.1587,0.221
1.103970,-0.1466,-0.0810,0.1849,0.249
1.108639,-0.1759,-0.0893,0.1678,0.259
1.113563,-0.1690,-0.0677,0.1999,0.270
1.118630,-0.1766,-0.0695,0.2028,0.278
1.123063,-0.1841,-0.0636,0.2102,0.287
1.128254,-0.1915,-0.0388,0.2260,0.299
1.132833,-0.1894,-0.0734,0.2091,0.292
1.137832,-0.1871,-0.0712,0.1624,0.258
1.142987,-0.1679,-0.0593,0.1439,0.229
1.148190,-0.1366,-0.0484,0.1293,0.194
1.152853,-0.1125,-0.0385,0.0635,0.135
1.157937,-0.1219,-0.0484,0.0327,0.135
1.162976,-0.0953,-0.0167,0.0335,0.102
1.167712,-0.0927,-0.0019,-0.0063,0.093
1.173170,-0.1094,0.0210,-0.0594,0.126
1.177809,-0.0710,0.0540,-0.0600,0.107
1.182783,-0.0543,0.0886,-0.0945,0.140
1.189805,-0.0832,0.0986,-0.1024,0.165
1.197841,-0.1026,0.1339,-0.1028,0.197
1.198730,-0.1340,0.1398,-0.1154,0.225
1.202469,-0.1631,0.1669,-0.1077,0.257
1.209901,-0.1635,0.1825,-0.1128,0.270
1.213022,-0.1544,0.2012,-0.1414,0.290
1.217259,-0.1788,0.1993,-0.0910,0.283
1.224008,-0.1841,0.1617,-0.1217,0.274
1.227130,-0.1796,0.1416,-0.1257,0.261
1.232532,-0.1679,0.0994,-0.1123,0.225
1.237253,-0.1561,0.0800,-0.1047,0.204
1.242482,-0.1706,0.0668,-0.1050,0.211
1.247418,-0.1779,0.0379,-0.1143,0.215
1.252336,-0.1372,0.0256,-0.1105,0.178
1.256976,-0.1156,0.0307,-0.0948,0.153
1.263469,-0.1180,0.0182,-0.0730,0.140
1.267098,-0.1396,0.0259,-0.0912,0.169
1.276427,-0.1037,0.0518,-0.0887,0.146
1.277228,-0.1061,0.0535,-0.0696,0.138
1.282137,-0.0991,0.0384,-0.0639,0.124
1.287547,-0.0584,0.0413,-0.0654,0.097
1.292321,-0.0513,0.0532,-0.0761,0.106
1.296818,-0.0682,0.0592,-0.0784,0.120
1.301746,-0.0539,0.0577,-0.1189,0.143
1.307226,-0.0420,0.0277,-0.1179,0.128
1.311904,-0.0780,0.0504,-0.1195,0.151
1.317349,-0.0996,0.0427,-0.1191,0.161
1.322521,-0.1236,0.0718,-0.0955,0.172
1.326738,-0.1285,0.0506,-0.0914,0.166
1.332114,-0.1382,0.0365,-0.0790,0.163
1.336750,-0.1525,0.0025,-0.0517,0.161
1.342185,-0.1644,-0.0067,0.0037,0.165
1.346639,-0.1691,-0.0244,-0.0082,0.171
1.352206,-0.1881,-0.0762,-0.0146,0.203
1.356828,-0.1399,-0.0918,0.0345,0.171
1.362032,-0.1395,-0.1036,0.0434,0.179
1.366548,-0.1510,-0.0999,0.0541,0.189
1.376299,-0.1528,-0.1062,0.0405,0.190
1.377193,-0.1571,-0.0975,0.0502,0.192
1.381768,-0.1517,-0.0630,0.0979,0.191
1.387125,-0.1655,-0.0556,0.0891,0.196
1.391924,-0.1889,-0.0655,0.1200,0.233
1.396802,-0.1786,-0.0551,0.0527,0.194
1.401486,-0.1900,-0.0600,0.0438,0.204
1.406829,-0.1798,-0.0762,0.0216,0.196
1.412346,-0.1456,-0.0718,0.0111,0.163
1.416677,-0.1233,-0.0584,0.0064,0.137
1.421807,-0.1036,-0.0727,0.0334,0.131
1.426823,-0.1005,-0.0883,0.0371,0.139
1.431574,-0.1021,-0.0815,0.0339,0.135
1.438471,-0.1038,-0.0757,0.0630,0.143
1.441208,-0.1150,-0.0684,0.0879,0.160
1.446347,-0.0975,-0.0667,0.0664,0.135
1.451684,-0.0992,-0.0439,0.0646,0.126
1.459724,-0.1059,-0.0259,0.0399,0.116
1.461930,-0.0816,-0.0170,0.0301,0.089
