time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004638,-0.1072,0.0395,-0.0902,0.146
0.005706,-0.1026,0.0303,-0.0710,0.128
0.006395,-0.1003,0.0169,-0.0354,0.108
0.006959,-0.1099,-0.0028,0.0252,0.113
0.012023,-0.1386,0.0048,0.0876,0.164
0.019872,-0.1530,-0.0369,0.1334,0.206
0.020473,-0.1936,-0.0301,0.1376,0.239
0.023960,-0.2055,-0.0384,0.1786,0.275
0.029071,-0.2174,-0.0485,0.1591,0.274
0.034873,-0.2028,-0.0458,0.0719,0.220
0.038861,-0.1740,-0.0432,0.0205,0.180
0.044097,-0.1595,-0.0264,-0.0134,0.162
0.050485,-0.1259,-0.0180,-0.0272,0.130
0.054408,-0.1044,-0.0200,0.0108,0.107
0.058970,-0.0900,0.0140,0.0538,0.106
0.068137,-0.0661,0.0306,0.0730,0.103
0.068929,-0.0783,0.0165,0.0567,0.098
0.073770,-0.0855,0.0181,0.0874,0.124
0.081191,-0.0976,0.0095,0.0968,0.138
0.083687,-0.1288,0.0092,0.0202,0.131
0.088954,-0.1480,0.0071,0.0038,0.148
0.094026,-0.1720,0.0055,-0.0107,0.172
0.098980,-0.1625,0.0143,-0.0306,0.166
0.103823,-0.1698,0.0085,-0.0198,0.171
0.108910,-0.1698,0.0036,0.0022,0.170
0.114158,-0.1746,-0.0102,0.0485,0.181
0.118668,-0.1505,-0.0248,0.0837,0.174
0.123590,-0.1503,-0.0522,0.1285,0.204
0.130713,-0.1739,-0.0627,0.1579,0.243
0.133289,-0.1854,-0.0818,0.1519,0.253
0.138758,-0.1633,-0.1036,0.1380,0.238
0.143475,-0.1770,-0.1402,0.1235,0.257
0.148669,-0.1978,-0.1545,0.0895,0.266
0.153447,-0.2257,-0.1484,0.0804,0.282
0.158791,-0.2584,-0.1645,0.0603,0.312
0.168796,-0.2671,-0.1477,-0.0177,0.306
0.169637,-0.2735,-0.1346,-0.0196,0.305
0.173666,-0.2560,-0.1224,-0.0076,0.284
0.180341,-0.2433,-0.1424,-0.0281,0.283
0.183120,-0.1993,-0.0989,-0.0421,0.226
0.188138,-0.1892,-0.0786,0.0168,0.206
0.193236,-0.1767,-0.0721,0.0176,0.192
0.198575,-0.1594,-0.0425,-0.0031,0.165
0.203641,-0.1400,-0.0558,0.0093,0.151
0.208375,-0.1347,-0.0513,0.0182,0.145
0.213214,-0.1080,-0.0711,0.0024,0.129
0.218208,-0.1051,-0.0676,0.0166,0.126
0.223502,-0.0854,-0.0456,0.0247,0.100
0.230017,-0.0635,-0.0592,0.0296,0.092
0.233442,-0.1134,-0.0385,0.0700,0.139
0.238197,-0.0795,-0.0267,0.0922,0.125
0.243173,-0.0745,-0.0306,0.1507,0.171
0.248335,-0.0718,-0.0512,0.2167,0.234
