time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003483,-0.0389,-0.0437,-0.0967,0.113
0.003990,-0.0474,-0.0522,-0.0420,0.082
0.004435,-0.0181,-0.0576,0.0028,0.060
0.008374,-0.0204,-0.0700,0.0050,0.073
0.012965,-0.0466,-0.0672,-0.0197,0.084
0.026359,-0.0486,-0.0645,0.0083,0.081
0.026958,-0.0605,-0.0382,-0.0238,0.075
0.027823,-0.0746,0.0144,-0.0218,0.079
0.039115,-0.0817,0.0170,-0.0106,0.084
0.039578,-0.0913,0.0172,-0.0098,0.093
0.042626,-0.0722,0.0247,0.0361,0.084
0.047740,-0.0798,0.0316,0.0203,0.088
0.052904,-0.0658,0.0286,-0.0088,0.072
0.058321,-0.0660,0.0382,0.0239,0.080
0.062402,-0.0593,0.0303,0.0295,0.073
0.068075,-0.0287,0.0089,0.0486,0.057
0.072607,-0.0366,-0.0011,0.0631,0.073
0.077510,-0.0565,-0.0103,0.0547,0.079
0.082992,-0.0907,-0.0163,0.0400,0.100
0.087341,-0.0696,0.0048,0.0507,0.086
0.092731,-0.0535,-0.0307,0.0391,0.073
0.097541,-0.0706,-0.0251,0.0067,0.075
0.103061,-0.0948,0.0302,0.0177,0.101
0.107828,-0.1359,0.0115,0.0088,0.137
0.112777,-0.1338,0.0017,0.0271,0.137
0.121695,-0.1390,0.0094,0.0221,0.141
0.122314,-0.1562,0.0358,0.0370,0.164
0.127253,-0.1471,0.0338,0.0390,0.156
0.134453,-0.1093,0.0464,0.0746,0.140
0.136794,-0.1173,0.0769,0.0305,0.144
0.142093,-0.1346,0.0500,0.0196,0.145
0.147359,-0.1062,0.0307,0.0027,0.111
0.152469,-0.1039,0.0463,0.0280,0.117
0.157292,-0.1186,0.0510,0.0109,0.130
0.162617,-0.1045,0.0506,0.0169,0.117
0.167582,-0.0376,0.1339,0.1594,0.212
0.172388,-0.1229,0.1116,-0.0593,0.176
0.177176,-0.1394,0.0603,-0.1416,0.208
0.183917,-0.1361,0.0134,-0.0880,0.163
0.186921,-0.1091,0.0088,-0.0828,0.137
0.192225,-0.0918,-0.0078,-0.0739,0.118
0.198112,-0.0745,0.0247,-0.0374,0.087
0.202066,-0.0911,0.0422,-0.0497,0.112
0.206893,-0.1005,0.0676,-0.0177,0.122
0.211935,-0.0863,0.0810,-0.0124,0.119
0.221996,-0.0938,0.1174,-0.0053,0.150
0.222701,-0.0678,0.0911,0.0156,0.115
0.226735,-0.0587,0.0814,0.0198,0.102
0.234101,-0.0520,0.1039,0.0474,0.126
0.236680,-0.0696,0.1199,0.0770,0.159
0.242157,-0.0754,0.0916,0.0682,0.137
0.246610,-0.0667,0.0877,0.0697,0.130
0.251731,-0.1059,0.0533,0.0546,0.131
0.256890,-0.0968,0.0054,0.0344,0.103
0.261725,-0.0899,-0.0742,-0.0028,0.117
0.267548,-0.1064,-0.0584,-0.0030,0.121
0.271682,-0.0919,-0.0608,-0.0317,0.115
0.278331,-0.1106,-0.0800,-0.0770,0.157
0.283445,-0.1457,-0.0548,-0.0705,0.171
0.288087,-0.1521,-0.0389,-0.0618,0.169
0.291436,-0.1754,-0.0580,-0.0203,0.186
0.296382,-0.1750,-0.0350,0.0012,0.179
0.302101,-0.1605,-0.0238,-0.0172,0.163
0.306260,-0.1602,-0.0066,0.0258,0.162
0.311484,-0.1722,0.0137,0.0300,0.175
0.321051,-0.1555,0.0107,0.0247,0.158
0.321755,-0.1507,0.0124,0.0248,0.153
0.326240,-0.1650,0.0499,0.0325,0.175
0.332924,-0.1675,0.0198,0.0446,0.175
0.336577,-0.1581,0.0094,0.0080,0.159
0.341451,-0.1459,0.0046,0.0035,0.146
0.346343,-0.1288,0.0002,-0.0101,0.129
0.351549,-0.1212,-0.0298,0.0089,0.125
0.356314,-0.1112,-0.0190,-0.0118,0.113
0.361355,-0.0963,-0.0068,-0.0018,0.097
0.366280,-0.0767,0.0044,-0.0360,0.085
0.371454,-0.1072,0.0146,-0.0650,0.126
0.376284,-0.1087,0.0215,-0.0789,0.136
0.381950,-0.1341,0.0326,-0.0322,0.142
0.386078,-0.1384,0.0310,0.0225,0.144
0.391454,-0.1526,0.0344,0.0316,0.160
0.398154,-0.1764,0.0449,0.0595,0.192
0.401278,-0.1885,0.0189,0.0832,0.207
0.406827,-0.1839,-0.0264,0.1102,0.216
0.410909,-0.1912,-0.0151,0.1047,0.219
0.421165,-0.1841,-0.0505,0.1149,0.223
0.421913,-0.1960,-0.0543,0.1080,0.230
0.426074,-0.1671,-0.0655,0.1149,0.213
0.436003,-0.1909,-0.0615,0.1292,0.239
0.436910,-0.2169,-0.0484,0.1294,0.257
0.440748,-0.2454,-0.0368,0.1665,0.299
0.447702,-0.2669,-0.0384,0.1778,0.323
0.450818,-0.2740,-0.0180,0.1462,0.311
0.455566,-0.2808,-0.0308,0.1733,0.331
0.460702,-0.3093,-0.0474,0.1894,0.366
0.466811,-0.3234,-0.0146,0.1932,0.377
0.470489,-0.3136,-0.0254,0.1952,0.370
0.476474,-0.2822,-0.0666,0.2549,0.386
0.481094,-0.2845,-0.0466,0.2720,0.396
0.485336,-0.2870,-0.0334,0.2625,0.390
0.490274,-0.2677,-0.0643,0.2914,0.401
0.497678,-0.2460,-0.0711,0.2954,0.391
0.500722,-0.1811,-0.0849,0.2861,0.349
0.505151,-0.1519,-0.0960,0.2744,0.328
0.510359,-0.1488,-0.0876,0.2366,0.293
0.515661,-0.1237,-0.0900,0.2038,0.255
0.520521,-0.1269,-0.0811,0.1605,0.220
0.525334,-0.1321,-0.0569,0.1009,0.176
0.535249,-0.1105,-0.0256,0.0784,0.138
0.536023,-0.1198,0.0073,0.0579,0.133
0.545050,-0.1146,0.0298,0.0659,0.136
0.545682,-0.1071,0.0813,0.0304,0.138
0.550537,-0.1113,0.1353,0.0676,0.188
0.555051,-0.1254,0.1751,0.0849,0.232
0.560935,-0.1182,0.2189,0.0603,0.256
0.569490,-0.1059,0.2256,0.0470,0.254
0.570087,-0.1270,0.2608,0.0292,0.292
0.574961,-0.1263,0.2770,0.0317,0.306
0.582184,-0.0849,0.2873,0.0331,0.301
0.584943,-0.0771,0.2687,0.0619,0.286
0.590336,-0.0599,0.2451,0.0513,0.257
0.597314,-0.0617,0.2458,0.0287,0.255
0.600074,-0.0656,0.2371,0.0239,0.247
0.605137,-0.0550,0.2082,-0.0004,0.215
0.610161,-0.0370,0.2085,0.0026,0.212
0.614753,-0.0430,0.1826,0.0136,0.188
0.620294,-0.0349,0.1833,0.0298,0.189
0.624912,-0.0366,0.1509,0.0650,0.168
0.634809,-0.0317,0.1406,0.0505,0.153
0.635566,-0.0220,0.0933,0.0312,0.101
0.639851,-0.0169,0.1076,0.0217,0.111
0.644905,-0.0264,0.0970,0.0090,0.101
0.649866,0.0360,0.0661,0.0104,0.076
0.654525,0.1004,0.0501,-0.0363,0.118
0.659404,0.1243,0.0140,-0.0985,0.159
0.664541,0.1415,-0.0212,-0.1318,0.195
0.669939,0.1851,-0.0628,-0.1026,0.221
0.674808,0.2159,-0.0649,-0.1027,0.248
0.679725,0.2031,-0.0765,-0.0960,0.237
0.685218,0.2330,-0.0799,-0.0252,0.248
0.689490,0.2183,-0.0950,-0.0058,0.238
