time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005084,0.0406,0.0780,-0.0097,0.088
0.005921,0.0164,-0.0003,0.0689,0.071
0.006524,-0.0147,-0.0067,0.0675,0.069
0.007120,-0.0146,-0.0173,0.0119,0.026
0.012469,-0.0288,-0.0822,0.0287,0.092
0.020404,-0.0619,-0.0027,0.0732,0.096
0.022425,-0.0953,-0.0067,0.0592,0.112
0.028601,-0.1383,-0.0588,0.0877,0.174
0.035080,-0.1692,-0.0182,0.0541,0.179
0.037635,-0.1524,-0.0178,0.0998,0.183
0.042535,-0.1188,0.0177,0.1605,0.200
0.052078,-0.1024,0.0325,0.2209,0.246
0.052830,-0.1531,0.0233,0.1566,0.220
0.057310,-0.1894,0.0065,0.1000,0.214
0.062211,-0.2807,0.0017,0.1751,0.331
0.067562,-0.3721,0.0423,0.3040,0.482
0.072372,-0.3967,0.0961,0.2367,0.472
0.077299,-0.2873,0.1171,0.2009,0.370
0.082381,-0.0726,-0.0675,0.2343,0.254
0.087445,-0.1158,0.0661,-0.0947,0.164
0.092261,-0.1832,0.0970,-0.1555,0.259
0.098319,-0.0925,0.0970,-0.0757,0.154
0.102002,-0.0186,0.0971,-0.1146,0.151
0.107722,0.0075,0.0807,-0.0793,0.113
0.112036,-0.0190,0.0662,-0.0500,0.085
0.118064,0.0145,0.0370,-0.0255,0.047
0.121932,0.0481,0.0302,0.0332,0.066
0.127278,0.0217,0.0675,0.0196,0.074
0.135742,-0.0358,0.0587,0.0042,0.069
0.143643,-0.0621,0.0172,0.0180,0.067
0.144474,-0.0956,0.0132,0.0584,0.113
0.147924,-0.1052,0.0169,0.0560,0.120
0.151809,-0.1363,0.0230,0.1104,0.177
0.156896,-0.1341,0.0149,0.1836,0.228
0.161759,-0.1560,-0.0138,0.2167,0.267
0.166825,-0.2138,-0.0325,0.2165,0.306
0.171756,-0.1757,-0.0583,0.1837,0.261
0.176999,-0.0992,-0.0938,0.1808,0.226
0.183035,-0.1111,-0.1176,0.1644,0.231
0.186995,-0.1182,-0.0417,0.1310,0.181
0.191629,-0.1637,0.0178,0.1266,0.208
0.197633,-0.1566,-0.0088,0.1415,0.211
0.201814,-0.0968,-0.0039,0.1170,0.152
0.206697,-0.0609,-0.0016,0.1040,0.121
0.211456,-0.0466,-0.0260,0.0753,0.092
0.216720,-0.0249,-0.0219,0.0083,0.034
0.221761,-0.0055,-0.0369,-0.0387,0.054
0.226670,0.0092,-0.0432,-0.0630,0.077
0.232332,-0.0022,-0.0632,-0.1076,0.125
0.236562,0.0176,-0.0907,-0.0849,0.125
0.241407,0.0158,-0.0581,-0.0678,0.091
