time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,0.0483,-0.0233,-0.1403,0.15
0.02,-0.0261,-0.0556,-0.0435,0.075
0.04,-0.0385,-0.0891,-0.0858,0.13
0.06,-0.0534,0.0399,-0.2147,0.225
0.08,0.0212,0.0212,-0.0528,0.061
0.1,0.0282,-0.0088,0.0297,0.042
0.12,0.0762,0.0147,-0.2871,0.297
0.14,0.0873,0.0168,-0.1519,0.176
0.16,0.0355,0.0192,0.0031,0.04
0.18,-0.0681,0.0039,0.0093,0.069
0.2,-0.1052,0.0147,-0.0053,0.106
0.22,-0.0829,0.0259,0.0439,0.097
0.24,0.0112,0.0298,0.0474,0.057
0.26,0.0468,0.0245,-0.0159,0.055
0.28,0.0002,0.0225,-0.0074,0.024
0.3,-0.0071,-0.032,-0.0339,0.047
0.32,0.0539,-0.0419,-0.0508,0.085
0.34,0.0712,-0.0157,-0.0495,0.088
0.36,-0.038,-0.0257,0.0647,0.079
0.38,-0.1003,-0.0233,0.0569,0.118
0.4,0.026,0.0345,-0.1183,0.126
0.42,0.0984,0.024,-0.1114,0.151
0.44,0.0747,-0.0327,-0.0755,0.111
0.46,-0.0318,-0.0513,-0.0467,0.076
0.48,-0.0675,-0.0218,-0.0349,0.079
0.5,-0.0603,0.0167,-0.0543,0.083
0.52,0.004,0.042,-0.0437,0.061
0.54,0.0074,0.0211,0.0116,0.025
0.56,0.0171,0.0339,0.0025,0.038
0.58,-0.0223,0.0053,0.0023,0.023
0.6,-0.0079,0.0176,-0.0005,0.019
0.62,0.0132,-0.0114,-0.0199,0.026
0.64,0.0021,0.0251,-0.0434,0.05
0.66,0.0242,0.0239,-0.0188,0.039
0.68,-0.0003,-0.0021,-0.0399,0.04
0.7,-0.0138,-0.0173,-0.0231,0.032
0.72,-0.0083,0.0165,-0.0522,0.055
0.74,-0.0052,-0.0146,-0.0114,0.019
0.76,-0.0198,-0.0241,0.0051,0.032
0.78,-0.026,-0.0273,-0.0172,0.041
0.8,0.0142,0.0003,-0.0235,0.027
0.82,0.0204,0.0476,-0.041,0.066
0.84,-0.011,0.0295,-0.0303,0.044
0.86,-0.0293,-0.0034,-0.0186,0.035
0.88,-0.0071,-0.0145,-0.0308,0.035
0.9,0.0069,-0.01,-0.0546,0.056
0.92,0.0078,0.0005,-0.0444,0.045
0.94,-0.0081,-0.0096,-0.0392,0.041
0.96,-0.0038,0.0031,-0.0393,0.04
0.98,-0.0083,0.031,-0.0005,0.032
1.0,-0.0416,0.0206,-0.0046,0.047
1.02,-0.0077,-0.0085,-0.0192,0.022
1.04,0.0019,-0.0134,-0.0767,0.078
1.06,0.005,-0.0254,-0.0501,0.056
1.08,-0.0017,-0.0102,-0.0788,0.08
1.1,-0.015,-0.0038,-0.0449,0.048
1.12,-0.0013,0.0094,-0.0375,0.039
1.14,-0.0412,-0.0028,-0.0212,0.046
1.16,-0.0085,0.0098,-0.0071,0.015
1.18,0.0107,-0.0098,-0.0143,0.02
1.2,0.0046,-0.0122,-0.0333,0.036
1.22,0.0268,-0.0011,-0.0899,0.094
1.24,0.0055,0.0271,-0.0883,0.093
1.26,-0.0095,-0.0072,-0.0112,0.016
1.28,-0.068,-0.0602,-0.0053,0.091
1.3,-0.0079,-0.024,-0.1465,0.149
1.32,0.0489,0.0618,-0.1969,0.212
1.34,0.0188,0.0032,-0.015,0.024
1.36,0.0244,-0.0073,-0.0674,0.072
1.38,0.1027,0.0104,-0.1526,0.184
1.4,0.0962,-0.0077,-0.0698,0.119
1.42,-0.0362,0.0155,-0.0079,0.04
1.44,-0.1102,0.0316,-0.034,0.12
1.46,-0.0733,0.0697,0.0377,0.108
1.48,0.0017,0.0506,0.0275,0.058
1.5,0.0543,0.019,0.0211,0.061
1.52,-0.0019,-0.0029,-0.0067,0.008
1.54,-0.0004,-0.0155,0.0,0.016
1.56,-0.0132,-0.0245,-0.0122,0.03
1.58,0.0239,-0.0217,-0.0887,0.094
1.6,0.0565,0.0015,-0.0702,0.09
1.62,-0.0683,-0.0014,0.0741,0.101
1.64,-0.0829,-0.0168,0.0085,0.085
1.66,0.0008,-0.0147,-0.0871,0.088
1.68,0.0465,0.007,-0.0567,0.074
1.7,0.0396,-0.0044,0.0484,0.063
1.72,-0.0325,0.0117,0.0274,0.044
1.74,-0.0368,0.0225,-0.0405,0.059
1.76,0.006,0.014,-0.063,0.065
1.78,0.0188,0.0086,-0.0511,0.055
1.8,0.0135,-0.0064,-0.056,0.058
1.82,-0.003,-0.0014,-0.0346,0.035
1.84,-0.0259,-0.0347,-0.0071,0.044
1.86,0.0072,0.0011,-0.022,0.023
1.88,0.007,0.0238,0.0027,0.025
1.9,-0.0215,0.0292,-0.0108,0.038
1.92,-0.0181,0.0135,-0.015,0.027
1.94,-0.017,-0.0097,-0.0437,0.048
1.96,-0.0308,-0.0317,-0.037,0.058
1.98,-0.0263,0.015,-0.0279,0.041
2.0,0.0049,-0.0001,-0.0015,0.005
2.02,0.0058,0.0117,0.0013,0.013
2.04,-0.0037,0.0018,-0.0317,0.032
2.06,-0.0093,-0.0027,-0.0191,0.021
2.08,-0.0298,-0.0054,-0.0208,0.037
2.1,-0.0041,-0.0008,-0.0396,0.04
2.12,-0.0054,-0.0062,-0.0296,0.031
2.14,0.0003,-0.0022,0.0021,0.003
2.16,0.0139,-0.0122,-0.0451,0.049
2.18,-0.0019,-0.0372,-0.0422,0.056
2.2,0.0066,-0.0185,-0.0806,0.083
2.22,-0.0019,0.0071,-0.0353,0.036
