time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-0.1039,-0.0037,0.022,0.106
0.02,-0.0991,-0.0046,0.01,0.1
0.04,-0.11,0.0159,0.0186,0.113
0.06,-0.1099,-0.0097,-0.0196,0.112
0.08,-0.0702,0.035,-0.0357,0.086
0.1,-0.0973,0.0553,-0.0378,0.118
0.12,-0.0957,0.065,-0.0012,0.116
0.14,-0.1272,0.0239,-0.0057,0.13
0.16,-0.1302,0.0338,-0.0469,0.142
0.18,-0.0909,0.0054,-0.0721,0.116
0.2,-0.1118,0.0174,-0.082,0.14
0.22,-0.1072,-0.0344,-0.0697,0.132
0.24,-0.1459,-0.0395,-0.0471,0.158
0.26,-0.1663,-0.0228,-0.0995,0.195
0.28,-0.1309,-0.0375,-0.073,0.154
0.3,-0.126,-0.0096,-0.0604,0.14
0.32,-0.1777,0.0118,-0.0441,0.183
0.34,-0.118,-0.0044,-0.0412,0.125
0.36,-0.0443,0.0393,-0.0351,0.069
0.38,-0.1158,0.0331,-0.0612,0.135
0.4,-0.1675,-0.0011,-0.0317,0.17
0.42,-0.1607,-0.0107,0.0086,0.161
0.44,-0.1067,0.0067,-0.0018,0.107
0.46,-0.0725,0.0568,-0.048,0.104
0.48,-0.0891,-0.0051,-0.0549,0.105
0.5,-0.1235,0.0301,-0.009,0.127
0.52,-0.1174,-0.0169,-0.0103,0.119
0.54,-0.1143,0.0152,-0.0316,0.12
0.56,-0.1087,0.0088,-0.0753,0.133
0.58,-0.0801,-0.033,-0.07,0.111
0.6,-0.0898,-0.012,-0.0787,0.12
0.62,-0.1063,-0.0182,-0.0816,0.135
0.64,-0.155,-0.0093,-0.0267,0.158
0.66,-0.1355,-0.0372,-0.0051,0.141
0.68,-0.0762,-0.0148,-0.0594,0.098
0.7,-0.0352,0.0274,-0.103,0.112
0.72,-0.1201,0.1008,-0.049,0.164
0.74,-0.1713,0.044,-0.0003,0.177
0.76,-0.1424,-0.0314,0.0312,0.149
0.78,-0.1444,-0.0116,-0.0586,0.156
0.8,-0.1411,0.0688,-0.067,0.171
0.82,-0.116,0.0605,-0.0445,0.138
0.84,-0.101,-0.0137,-0.0545,0.116
0.86,-0.1011,-0.0311,-0.0514,0.118
0.88,-0.137,-0.0065,-0.0362,0.142
0.9,-0.1072,0.0002,0.0014,0.107
0.92,-0.1306,0.0181,-0.0451,0.139
0.94,-0.1248,-0.0245,-0.0329,0.131
0.96,-0.1122,-0.0219,-0.0407,0.121
0.98,-0.0959,0.0213,-0.063,0.117
1.0,-0.099,0.0212,-0.04,0.109
1.02,-0.0876,-0.0463,-0.0162,0.1
1.04,-0.0862,-0.0284,-0.057,0.107
1.06,-0.1154,0.0282,-0.0674,0.137
1.08,-0.1256,0.0297,-0.0654,0.145
1.1,-0.1161,-0.0019,-0.0591,0.13
1.12,-0.116,0.0105,-0.0428,0.124
1.14,-0.0998,0.0814,-0.095,0.16
