time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-0.1247,-0.0278,-0.0032,0.128
0.02,-0.096,0.0223,-0.0149,0.1
0.04,-0.1159,0.0162,0.0696,0.136
0.06,-0.1482,-0.0813,0.0644,0.181
0.08,-0.1366,-0.0789,0.0347,0.162
0.1,-0.1268,0.0357,-0.0152,0.133
0.12,-0.136,0.0782,-0.0523,0.165
0.14,-0.0708,0.066,-0.0202,0.099
0.16,-0.0802,0.0212,-0.0233,0.086
0.18,-0.1092,0.0058,0.022,0.112
0.2,-0.0949,-0.0178,0.005,0.097
0.22,-0.097,-0.0419,-0.0283,0.109
0.24,-0.0676,-0.042,0.0083,0.08
0.26,-0.0986,-0.0052,-0.0227,0.101
0.28,-0.1273,0.0415,-0.0096,0.134
0.3,-0.1012,0.0633,-0.0069,0.12
0.32,-0.1296,-0.034,-0.0241,0.136
0.34,-0.122,-0.0475,-0.0334,0.135
0.36,-0.107,-0.0023,-0.0343,0.112
0.38,-0.0872,-0.0078,-0.0414,0.097
0.4,-0.0718,0.0325,-0.0471,0.092
0.42,-0.1193,0.0459,-0.0298,0.131
0.44,-0.0929,-0.001,0.0324,0.098
0.46,-0.1081,-0.0167,0.0538,0.122
0.48,-0.1232,0.0244,0.0701,0.144
0.5,-0.1284,0.045,-0.0069,0.136
0.52,-0.1137,0.0384,-0.0207,0.122
0.54,-0.0675,0.0463,-0.004,0.082
0.56,-0.0719,0.0474,0.0052,0.086
0.58,-0.0859,0.0296,-0.0262,0.095
0.6,-0.1167,0.0558,0.004,0.129
0.62,-0.0888,-0.0342,0.0733,0.12
0.64,-0.1238,-0.0708,0.0832,0.165
0.66,-0.1341,-0.0617,0.0372,0.152
0.68,-0.0765,-0.0793,0.0027,0.11
0.7,-0.0453,-0.0883,0.0805,0.128
0.72,-0.0632,-0.1127,0.1296,0.183
0.74,-0.1174,-0.0747,0.1287,0.19
0.76,-0.1348,-0.0709,0.0323,0.156
0.78,-0.1369,-0.0527,0.032,0.15
0.8,-0.0917,-0.0324,0.0918,0.134
0.82,-0.0918,-0.0566,0.031,0.112
0.84,-0.0861,-0.0066,-0.0584,0.104
0.86,-0.1374,0.1089,-0.1071,0.205
0.88,-0.0829,0.1176,-0.118,0.186
0.9,-0.0311,0.0708,-0.0867,0.116
0.92,-0.1011,0.0574,-0.0913,0.148
0.94,-0.131,0.0655,-0.0288,0.149
0.96,-0.0998,0.1233,-0.0198,0.16
0.98,-0.076,0.0874,-0.0132,0.117
1.0,-0.0687,0.0369,-0.0258,0.082
1.02,-0.0733,-0.0146,0.0115,0.076
1.04,-0.1053,0.0076,0.0075,0.106
1.06,-0.0869,-0.023,0.0392,0.098
1.08,-0.0943,0.0099,-0.0399,0.103
1.1,-0.0936,0.0297,-0.0603,0.115
1.12,-0.1217,0.014,-0.0145,0.123
1.14,-0.0836,-0.0608,0.0393,0.111
1.16,0.0069,-0.0868,0.0514,0.101
1.18,-0.0888,-0.0338,-0.0403,0.103
1.2,-0.1653,-0.0238,-0.0185,0.168
1.22,-0.0815,-0.0463,-0.0168,0.095
1.24,-0.0315,-0.114,0.0045,0.118
1.26,-0.0297,-0.0438,0.0183,0.056
1.28,-0.1144,0.0445,0.0409,0.129
1.3,-0.1831,0.1393,0.0543,0.236
1.32,-0.1618,0.0697,-0.0215,0.177
1.34,-0.0796,-0.0016,-0.0253,0.084
1.36,-0.0787,0.0089,-0.0236,0.083
1.38,-0.085,0.0333,-0.025,0.095
1.4,-0.0861,-0.0154,-0.0807,0.119
1.42,-0.1135,0.0606,0.0022,0.129
1.44,-0.0924,0.0564,-0.0198,0.11
1.46,-0.0559,-0.039,0.0033,0.068
1.48,-0.0206,-0.0442,-0.0397,0.063
1.5,0.009,-0.0798,-0.1484,0.169
1.52,-0.0196,-0.0429,-0.027,0.054
1.54,-0.0862,0.0005,-0.0205,0.089
1.56,-0.1991,-0.0138,0.1039,0.225
1.58,-0.2375,0.012,0.0578,0.245
1.6,-0.138,-0.0133,0.0291,0.142
1.62,-0.1121,-0.0588,0.0429,0.134
1.64,-0.1801,-0.0132,0.1209,0.217
1.66,-0.1687,-0.007,0.0103,0.169
1.68,-0.1633,0.0369,-0.0172,0.168
1.7,-0.1268,0.0313,-0.0254,0.133
1.72,-0.0669,0.0836,0.0066,0.107
1.74,-0.0695,0.0563,-0.0702,0.114
1.76,-0.025,0.0412,-0.0706,0.085
1.78,-0.0437,0.0745,0.0508,0.1
1.8,-0.0623,0.0574,0.1591,0.18
1.82,-0.1265,-0.0592,0.1609,0.213
1.84,-0.0963,-0.0425,0.0271,0.109
1.86,-0.0457,-0.0118,-0.0426,0.064
1.88,-0.0386,-0.0542,0.0102,0.067
1.9,-0.0505,-0.0685,0.0038,0.085
1.92,-0.0815,-0.0852,0.014,0.119
1.94,-0.0649,-0.0625,-0.0151,0.091
1.96,-0.0983,-0.0544,-0.0756,0.135
1.98,-0.1148,0.0782,-0.0686,0.155
2.0,-0.1198,0.1716,-0.1769,0.274
2.02,-0.0786,0.143,-0.1488,0.221
2.04,-0.1042,0.0303,-0.1335,0.172
2.06,-0.0752,-0.0379,-0.0648,0.106
2.08,-0.072,-0.0407,-0.1089,0.137
2.1,-0.1052,0.0665,-0.0593,0.138
2.12,-0.1707,0.196,0.0125,0.26
2.14,-0.1864,0.1352,0.1306,0.265
2.16,-0.1518,-0.019,0.0618,0.165
2.18,0.0107,-0.1053,-0.0251,0.109
2.2,0.0213,-0.1067,-0.1154,0.159
2.22,-0.0452,-0.0426,0.0089,0.063
2.24,-0.1206,0.013,0.123,0.173
2.26,-0.1888,0.1391,0.0504,0.24
2.28,-0.1769,0.2066,-0.0113,0.272
2.3,-0.1133,0.0893,-0.1165,0.185
2.32,-0.0139,-0.063,-0.0858,0.107
2.34,-0.0303,-0.1215,-0.0731,0.145
2.36,-0.0763,-0.1235,0.0031,0.145
2.38,-0.1055,-0.1181,0.0272,0.161
2.4,-0.0772,-0.0974,0.0284,0.128
2.42,-0.0997,-0.0911,0.1305,0.188
2.44,-0.1489,-0.1177,0.1305,0.23
2.46,-0.0919,-0.1144,0.1012,0.178
2.48,-0.0918,-0.1322,0.0716,0.176
2.5,-0.1294,-0.1674,0.0429,0.216
2.52,-0.1236,-0.0852,-0.0144,0.151
2.54,-0.1497,-0.023,0.0177,0.152
2.56,-0.1521,-0.0333,0.0633,0.168
2.58,-0.1566,0.0006,-0.0164,0.157
2.6,-0.1304,0.0447,-0.0883,0.164
2.62,-0.117,0.1529,-0.1056,0.22
2.64,-0.123,0.1833,-0.0516,0.227
2.66,-0.0948,0.1017,-0.1117,0.178
2.68,-0.0656,0.1384,-0.1311,0.202
2.7,-0.0387,0.0987,-0.1029,0.148
2.72,-0.0931,0.0699,-0.0978,0.152
2.74,-0.0684,0.0087,-0.068,0.097
2.76,-0.0753,0.0447,-0.0245,0.091
2.78,-0.0636,0.0068,0.0272,0.069
2.8,-0.1579,-0.0786,0.1206,0.214
2.82,-0.1662,-0.1381,0.1353,0.255
2.84,-0.1304,-0.1008,0.0016,0.165
2.86,-0.0941,0.0134,-0.0224,0.098
2.88,-0.0988,0.0231,0.0066,0.102
2.9,-0.1467,0.0168,0.0225,0.149
2.92,-0.1515,0.0202,0.0238,0.155
2.94,-0.0821,0.0215,0.0004,0.085
2.96,-0.0626,0.0899,-0.0365,0.115
2.98,-0.0742,0.0968,0.0148,0.123
3.0,-0.0618,0.0622,-0.0226,0.091
3.02,-0.0588,-0.0093,-0.0723,0.094
3.04,-0.0533,-0.0326,-0.0142,0.064
3.06,-0.1061,-0.0164,0.0444,0.116
3.08,-0.1066,-0.0582,0.0884,0.15
3.1,-0.0976,-0.101,0.0328,0.144
3.12,-0.0785,-0.1342,0.0214,0.157
3.14,-0.0739,-0.0877,0.0661,0.132
3.16,-0.1078,-0.0442,0.0627,0.132
3.18,-0.1535,0.0146,0.0394,0.159
3.2,-0.125,0.0912,-0.0169,0.156
3.22,-0.1203,0.0832,-0.0016,0.146
3.24,-0.1252,0.1086,-0.0248,0.168
3.26,-0.101,0.052,-0.0121,0.114
3.28,-0.0768,-0.0207,-0.0151,0.081
3.3,-0.0525,-0.0434,-0.0256,0.073
3.32,-0.0809,0.0093,0.0008,0.081
3.34,-0.1288,-0.0344,0.0162,0.134
3.36,-0.1265,-0.0835,0.0288,0.154
3.38,-0.1217,-0.0623,0.0497,0.145
3.4,-0.0973,-0.0289,0.004,0.102
3.42,-0.1185,0.0237,0.0062,0.121
3.44,-0.123,0.0025,0.0428,0.13
3.46,-0.1015,-0.0453,0.0289,0.115
3.48,-0.0874,-0.0778,0.098,0.153
3.5,-0.1044,-0.0854,0.0192,0.136
3.52,-0.1329,0.0286,0.0087,0.136
