time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,0.438,0.5562,0.1767,0.73
0.02,1.8933,-0.3951,0.7759,2.084
0.04,2.3316,-1.0407,0.6468,2.634
0.06,1.7562,-1.3275,0.1861,2.209
0.08,1.4689,-0.5771,-0.4203,1.633
0.1,2.5547,0.111,0.1839,2.564
0.12,2.3299,0.4022,-0.1528,2.369
0.14,1.4176,0.6117,-0.9626,1.819
0.16,0.1645,0.3863,-0.3422,0.542
0.18,-0.3129,-0.2544,-1.1006,1.172
0.2,0.0322,-0.3137,-1.9961,2.021
0.22,-0.3526,0.2155,-2.0241,2.066
0.24,-0.5828,0.8643,-1.9209,2.185
0.26,0.0078,1.1314,-1.1781,1.633
0.28,0.4828,1.4573,-0.3939,1.585
0.3,1.0383,1.1329,0.4931,1.614
0.32,1.0559,0.1154,0.8745,1.376
0.34,0.554,-0.6904,0.7085,1.134
0.36,-0.3672,-0.8056,0.3185,0.941
0.38,-1.2138,-0.5707,0.5219,1.439
0.4,-1.4653,-0.3223,0.6528,1.636
0.42,-1.4157,0.0835,0.683,1.574
0.44,-1.3297,0.2542,0.8948,1.623
0.46,-1.268,0.2422,0.8449,1.543
0.48,-1.1199,0.2239,0.7908,1.389
0.5,-0.9457,0.1156,0.6582,1.158
0.52,-0.7936,-0.0112,0.7427,1.087
0.54,-0.8542,-0.3435,0.9578,1.329
0.56,-1.4219,-0.6028,0.8204,1.749
0.58,-1.6396,-0.6657,0.6612,1.889
0.6,-1.3951,-0.3882,0.6521,1.588
0.62,-1.3819,-0.2312,0.4329,1.466
0.64,-1.1621,0.0593,-0.2455,1.189
0.66,-0.4185,0.3406,-0.7463,0.921
0.68,0.5698,0.4302,-0.6329,0.954
0.7,1.8931,0.1195,-0.4382,1.947
0.72,2.5948,-0.3278,-0.2901,2.631
0.74,2.2546,-0.2204,0.1319,2.269
0.76,1.7859,0.3679,-0.021,1.824
0.78,1.8316,-0.0229,-0.1327,1.837
0.8,2.5708,-0.0366,-0.602,2.641
0.82,3.1281,-0.1058,-0.9965,3.285
0.84,2.3783,-0.16,-1.5823,2.861
0.86,1.148,0.4912,-1.1056,1.668
0.88,-0.2327,0.6339,-0.925,1.145
0.9,-1.6642,0.1183,-0.9844,1.937
0.92,-2.4528,-0.9055,-1.2274,2.888
0.94,-2.1252,-1.6093,-0.2587,2.678
0.96,-0.9391,-1.2763,0.4849,1.657
0.98,0.6343,-0.7876,0.424,1.097
1.0,1.2564,-0.5437,0.1398,1.376
1.02,0.9194,0.0878,0.3314,0.981
1.04,0.0693,0.6037,0.4522,0.757
1.06,-0.4046,0.7172,0.6377,1.042
1.08,-0.8468,0.6311,0.747,1.294
1.1,-1.071,0.4387,0.8488,1.435
1.12,-0.9466,0.3079,0.7584,1.251
1.14,-0.7616,0.183,0.5914,0.981
1.16,-0.7794,0.0842,1.0108,1.279
1.18,-0.5994,-0.1233,1.003,1.175
1.2,-0.5913,-0.2283,0.7971,1.018
1.22,-0.5897,-0.0628,0.7226,0.935
1.24,-0.5569,0.1941,0.6688,0.892
1.26,-0.5345,0.2885,0.5283,0.805
1.28,-0.7196,0.2885,0.4534,0.898
1.3,-0.8699,0.3305,0.3433,0.992
1.32,-0.9754,0.3415,0.1792,1.049
1.34,-1.752,0.1116,-0.9719,2.007
1.36,-0.9777,0.0389,-0.5935,1.144
1.38,-0.0442,0.4701,0.201,0.513
1.4,0.3886,0.7259,-0.0481,0.825
1.42,1.1449,0.0174,-0.1292,1.152
1.44,1.5051,-0.3323,0.2086,1.555
1.46,0.855,-0.2158,0.2948,0.93
1.48,0.9059,0.4811,-0.4182,1.108
