time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-1.164,-0.0004,0.3804,1.225
0.02,-1.3619,-0.262,0.2735,1.414
0.04,-1.5994,-0.5104,0.2954,1.705
0.06,-1.5698,-0.44,0.3061,1.659
0.08,-1.6307,-0.0032,-0.2154,1.645
0.1,-1.2954,0.3651,-0.3383,1.388
0.12,-1.326,0.483,-0.2039,1.426
0.14,-1.4952,0.5336,0.3044,1.616
0.16,-1.1478,0.604,1.0186,1.649
0.18,-0.8203,0.7015,0.9097,1.412
0.2,-0.3309,1.0135,0.1141,1.072
0.22,-0.1225,1.1564,-0.172,1.176
0.24,-0.3526,0.612,0.2661,0.755
0.26,-0.6197,-0.1114,0.4192,0.756
0.28,-0.6661,-0.3785,0.3086,0.826
0.3,-0.2853,-0.5465,-0.3633,0.716
0.32,-0.0749,-0.7914,-1.7069,1.883
0.34,0.2309,-0.7097,-3.2587,3.343
0.36,2.2414,-0.2388,-2.7428,3.55
0.38,3.8791,0.4505,-1.4396,4.162
0.4,4.4301,0.9983,-0.8642,4.623
0.42,2.8744,0.5629,-1.2081,3.168
0.44,1.0911,-0.2684,-0.6853,1.316
0.46,0.4656,-0.5486,0.1471,0.734
0.48,0.0719,-0.9985,0.1632,1.014
0.5,0.9261,-1.4265,0.3855,1.744
0.52,1.7495,-0.9578,0.4355,2.042
0.54,1.8959,-0.1287,0.1662,1.907
0.56,1.483,0.6641,0.007,1.625
0.58,0.7579,0.7891,-0.0003,1.094
0.6,0.3073,0.5397,-0.3114,0.695
0.62,-0.0088,0.0198,-0.3211,0.322
0.64,-0.215,-0.3217,-0.0335,0.388
0.66,-0.4757,-0.292,0.4474,0.715
0.68,-0.7183,-0.0723,0.7339,1.029
0.7,-1.0768,0.1896,0.471,1.191
0.72,-1.2956,0.3209,0.6937,1.504
0.74,-1.3443,0.2434,0.4587,1.441
0.76,-1.3751,0.2745,-0.0208,1.402
0.78,-1.3126,0.4395,0.0701,1.386
0.8,-1.0284,0.4825,0.6458,1.307
0.82,-0.6526,0.2524,0.9537,1.183
0.84,-0.6945,-0.0943,0.3197,0.77
0.86,-1.1652,-0.3279,-0.2706,1.24
0.88,-1.3843,-0.1128,-0.4829,1.47
0.9,-1.4166,0.0897,0.2158,1.436
0.92,-1.4098,0.2836,0.5787,1.55
0.94,-1.4437,0.2654,0.507,1.553
