time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-0.1646,-1.1212,0.3417,1.184
0.02,-0.0381,-0.8017,0.1912,0.825
0.04,-0.1274,-0.1721,0.5634,0.603
0.06,-0.348,0.1584,0.7648,0.855
0.08,-0.5772,0.1252,0.7637,0.965
0.1,-0.4477,-0.0089,0.552,0.711
0.12,-0.417,-0.1802,0.4381,0.631
0.14,-0.3117,-0.3162,0.325,0.55
0.16,-0.3788,-0.3052,0.2557,0.55
0.18,-0.4587,-0.1467,0.3256,0.581
0.2,-0.5188,0.0835,0.3912,0.655
0.22,-0.3879,0.054,0.5027,0.637
0.24,-0.4294,0.0228,0.5009,0.66
0.26,-0.4045,-0.1548,0.4498,0.624
0.28,-0.162,-0.1444,0.4782,0.525
0.3,-0.0558,-0.3099,0.2384,0.395
0.32,0.6542,-0.7592,0.0812,1.005
0.34,0.9797,-0.6038,-0.2856,1.186
0.36,0.9496,0.1311,-1.5484,1.821
0.38,2.2522,0.9175,-1.7642,3.004
0.4,2.7861,0.8285,-1.9323,3.49
0.42,2.4394,0.474,-2.1373,3.278
0.44,1.8304,1.1593,-1.2347,2.494
0.46,1.4838,1.2308,-0.834,2.101
0.48,1.2448,0.7714,-0.9191,1.729
0.5,0.5076,-0.0329,-0.8704,1.008
0.52,-0.258,-0.2044,-0.5462,0.638
0.54,-0.3607,0.1085,-0.7997,0.884
0.56,0.0892,0.6207,-1.091,1.258
0.58,0.6992,0.7101,-0.8384,1.302
0.6,1.0017,0.1936,-0.5058,1.139
0.62,0.8383,-0.2657,-0.3027,0.93
0.64,0.5324,-0.5108,0.0094,0.738
0.66,0.0788,-0.4132,0.0898,0.43
0.68,-0.4047,-0.3429,0.3344,0.627
0.7,-0.9073,-0.3227,0.4689,1.071
0.72,-1.4865,-0.1349,0.5788,1.601
0.74,-2.0375,0.138,0.7178,2.165
0.76,-2.2878,0.1324,0.7061,2.398
0.78,-2.1399,0.2368,0.6487,2.249
0.8,-1.8164,0.5444,0.9602,2.125
0.82,-1.93,0.6846,1.1191,2.334
0.84,-1.8655,0.5433,1.2474,2.309
0.86,-1.6669,0.0817,1.2737,2.099
0.88,-1.3812,-0.3914,1.0482,1.778
0.9,-0.7451,-0.6213,0.9307,1.344
0.92,0.0894,-0.6554,0.5321,0.849
0.94,0.5231,-0.3685,0.2665,0.693
0.96,0.5067,0.0739,0.2461,0.568
0.98,0.3233,0.2982,0.3041,0.535
1.0,-0.339,0.0741,0.4818,0.594
1.02,-0.8257,-0.014,0.7074,1.087
1.04,-0.9388,0.0828,0.5068,1.07
1.06,-1.0925,0.6506,0.1148,1.277
1.08,-1.0125,0.693,-0.2403,1.25
1.1,-0.394,0.476,-0.3103,0.691
1.12,0.1212,0.0614,-0.2623,0.295
1.14,0.4786,-0.4859,-0.1384,0.696
1.16,0.8398,-0.4685,0.1029,0.967
1.18,1.1409,-0.2552,0.2603,1.198
1.2,0.7575,-0.4992,-0.1294,0.916
1.22,1.2689,-0.6062,-0.5319,1.504
1.24,2.5294,-0.0565,-1.4069,2.895
1.26,3.4158,0.9496,-1.9512,4.047
1.28,3.8631,1.167,-3.0252,5.044
1.3,2.9884,0.307,-3.7827,4.83
1.32,1.8215,0.1506,-2.4104,3.025
1.34,1.1504,0.6871,-1.1263,1.75
1.36,0.1283,0.882,-0.869,1.245
1.38,-0.3525,0.1444,-0.6437,0.748
1.4,-0.0275,-0.8112,-0.3437,0.881
1.42,0.6277,-1.4768,-0.1264,1.61
1.44,1.1049,-1.3952,-0.1545,1.786
1.46,0.5706,-0.9846,-0.656,1.314
1.48,0.1613,-0.416,-0.4221,0.614
1.5,-0.5266,0.0462,0.5073,0.733
1.52,-1.5267,0.0963,1.2346,1.966
1.54,-2.3899,0.0686,1.377,2.759
1.56,-2.685,-0.0717,1.4162,3.036
1.58,-2.8183,-0.3116,1.1755,3.069
1.6,-2.4949,-0.5698,1.2037,2.828
1.62,-2.122,-0.7449,1.3698,2.633
1.64,-2.1093,-0.6059,1.3914,2.599
1.66,-1.9155,-0.399,1.0274,2.21
1.68,-1.4499,-0.1844,0.8223,1.677
1.7,-0.8361,0.0144,0.5757,1.015
1.72,-0.5253,0.2121,0.3746,0.679
1.74,-0.4525,0.0822,0.3344,0.569
1.76,-0.0629,-0.3607,0.1995,0.417
1.78,0.0863,-0.6919,0.2479,0.74
1.8,-0.1931,-0.7766,0.0772,0.804
1.82,-0.3059,-0.5795,0.1681,0.676
1.84,-0.4269,0.0249,0.6198,0.753
1.86,-0.5917,0.2051,0.7887,1.007
1.88,-0.4015,-0.0905,0.8197,0.917
1.9,-0.271,-0.056,0.7739,0.822
1.92,-0.1953,0.2012,0.5104,0.582
1.94,-0.092,0.2068,0.2645,0.348
1.96,0.4781,0.0579,0.2195,0.529
1.98,1.0138,-0.3794,-0.1825,1.098
2.0,1.0034,-0.0854,-1.0892,1.483
2.02,1.8122,0.5916,-2.0551,2.803
2.04,2.6384,1.198,-2.3988,3.762
2.06,2.7154,0.7657,-2.0076,3.463
2.08,2.0389,0.4775,-1.4225,2.532
2.1,1.835,-0.3368,-0.685,1.987
2.12,1.1537,-0.8745,-0.765,1.637
2.14,0.8181,-1.1562,-1.1541,1.827
2.16,0.6923,-0.8162,-1.3769,1.744
2.18,0.7291,-0.3267,-1.4996,1.699
2.2,0.8207,0.2111,-1.274,1.53
2.22,0.6818,0.6887,-0.8443,1.285
2.24,0.2861,1.2231,-0.2437,1.28
2.26,0.0525,1.3133,0.1516,1.323
2.28,-0.1252,0.8217,0.1692,0.848
2.3,-0.1733,0.2743,0.0297,0.326
2.32,-0.3649,0.1688,0.0775,0.409
2.34,-0.7362,0.0626,0.2715,0.787
2.36,-1.262,0.0137,0.8186,1.504
2.38,-1.8031,-0.2519,1.1704,2.164
2.4,-2.5143,-0.7446,1.2941,2.924
2.42,-2.5499,-1.1648,1.2405,3.066
2.44,-2.1761,-0.9932,0.8185,2.528
2.46,-1.731,-0.2757,0.3483,1.787
2.48,-1.1863,0.6837,0.0606,1.371
2.5,-0.9077,1.3512,0.0038,1.628
2.52,-0.5897,1.6363,0.1972,1.75
2.54,-0.3117,1.1281,0.2466,1.196
2.56,-0.1273,0.4203,0.1884,0.478
2.58,-0.2833,0.0107,0.4034,0.493
2.6,-0.4281,-0.2853,0.66,0.837
2.62,-0.6877,-0.3823,0.7794,1.107
2.64,-0.7676,-0.2028,0.7651,1.103
2.66,-0.7761,0.0462,0.5227,0.937
2.68,-0.5744,0.2411,0.2833,0.684
2.7,-0.1733,0.2381,0.2453,0.383
2.72,0.0048,0.0636,0.3539,0.36
2.74,0.1354,-0.097,0.4739,0.502
2.76,0.107,-0.4255,0.55,0.704
2.78,0.0173,-0.2942,0.3697,0.473
2.8,0.017,-0.0299,0.2051,0.208
2.82,0.1078,0.1888,0.2113,0.303
2.84,0.2813,0.4112,0.4799,0.692
2.86,0.4353,0.3059,0.7473,0.917
2.88,0.3011,-0.0014,0.52,0.601
2.9,0.3112,-0.3059,0.1026,0.448
2.92,-0.0168,-0.1574,-0.1791,0.239
2.94,-0.4886,0.3805,-0.7073,0.94
2.96,0.0343,0.4421,-0.9836,1.079
2.98,1.1156,-0.3493,-0.9732,1.521
3.0,2.5867,-0.9066,-1.6077,3.178
3.02,4.0677,-1.064,-2.7033,4.999
3.04,3.7294,-0.2904,-3.4135,5.064
3.06,2.266,0.3605,-2.9797,3.761
3.08,0.3995,0.8264,-1.54,1.793
3.1,-0.2832,0.6569,-0.6908,0.994
3.12,0.0205,0.628,-0.5235,0.818
3.14,0.5847,0.5984,-0.7045,1.094
3.16,1.0845,0.0836,-0.5716,1.229
3.18,1.3921,-0.5742,-0.0799,1.508
3.2,1.3791,-0.8254,-0.0268,1.607
3.22,1.2736,-0.7511,0.0134,1.479
3.24,0.7047,-0.5117,-0.0251,0.871
3.26,0.2363,-0.2377,0.0868,0.346
3.28,-0.4131,0.1234,0.4856,0.649
3.3,-1.2441,0.2464,0.7135,1.455
3.32,-1.7726,0.0563,1.0216,2.047
3.34,-2.4127,-0.2023,1.1866,2.696
3.36,-2.5067,-0.6805,1.4045,2.953
3.38,-2.524,-0.9959,1.792,3.252
3.4,-2.4502,-0.6876,1.6137,3.013
3.42,-2.1208,-0.3212,1.1897,2.453
3.44,-1.8012,-0.2964,1.1808,2.174
3.46,-1.5577,-0.4817,1.2462,2.052
3.48,-1.5976,-0.5002,1.1666,2.04
3.5,-1.2583,-0.3751,1.028,1.668
3.52,-0.4377,-0.3082,0.8247,0.983
3.54,0.1344,-0.4454,0.3606,0.589
3.56,0.7588,-0.6033,-0.0011,0.969
3.58,1.1842,-0.5961,-0.246,1.348
3.6,0.6942,-0.1502,-0.2079,0.74
3.62,0.1554,0.2889,-0.0569,0.333
3.64,-0.4503,0.5886,0.2504,0.782
3.66,-0.4809,0.7433,0.4644,1.0
3.68,-0.3705,0.513,0.6076,0.877
3.7,-0.34,0.0896,0.5411,0.645
3.72,-0.3211,-0.4523,0.5551,0.785
3.74,-0.1604,-0.8648,0.4736,0.999
3.76,0.1241,-0.7856,0.1134,0.803
3.78,0.2835,-0.426,-0.038,0.513
3.8,0.2968,-0.2282,-0.0736,0.382
3.82,0.193,-0.1051,-0.0299,0.222
3.84,0.1911,0.103,0.075,0.23
3.86,0.0823,0.3388,0.3461,0.491
3.88,0.1939,0.126,-0.0059,0.231
3.9,0.5242,0.2613,-0.6787,0.897
3.92,1.733,0.5693,-1.2095,2.189
3.94,2.6493,0.9675,-2.0129,3.465
3.96,3.3755,0.833,-2.7123,4.41
3.98,3.4353,0.7094,-2.4346,4.27
4.0,3.0885,0.6864,-0.8102,3.266
4.02,1.9233,-0.1757,-0.1496,1.937
4.04,0.8,-1.6616,-0.6829,1.966
4.06,0.2845,-2.3004,-1.2262,2.622
4.08,0.5053,-1.6694,-2.0693,2.706
4.1,1.0956,0.2281,-2.2406,2.505
4.12,1.3072,1.9639,-1.7023,2.909
4.14,0.8484,2.6531,-1.1742,3.023
4.16,-0.0634,2.2354,-0.4674,2.285
4.18,-0.6623,1.0359,0.1567,1.239
4.2,-1.4488,-0.158,0.7491,1.639
4.22,-2.3443,-0.8761,0.9154,2.665
4.24,-3.1373,-1.0246,1.2355,3.524
4.26,-3.6774,-0.8788,1.7784,4.178
4.28,-4.0858,-0.5077,2.2435,4.689
4.3,-4.1152,-0.0331,2.3283,4.728
4.32,-3.6486,0.2958,1.9778,4.161
4.34,-2.5063,0.7403,1.5194,3.023
4.36,-1.1549,0.8325,1.1802,1.849
4.38,0.1138,0.5695,0.5931,0.83
4.4,1.2154,0.1966,0.2691,1.26
4.42,1.7623,0.0931,0.1717,1.773
4.44,1.7331,0.0963,0.3325,1.767
4.46,0.9676,0.0794,0.2742,1.009
4.48,0.179,0.0765,0.2286,0.3
4.5,-0.236,0.2139,0.1912,0.371
4.52,-0.4097,0.3634,0.1072,0.558
4.54,-0.8135,0.5311,0.2344,0.999
4.56,-1.0674,0.5005,0.4297,1.255
4.58,-0.8877,0.2455,0.6477,1.126
4.6,-0.6652,-0.0269,0.3403,0.748
4.62,0.2119,-0.0634,0.1632,0.275
4.64,0.978,-0.113,0.2848,1.025
4.66,0.9312,-0.1258,0.6496,1.142
4.68,0.481,-0.3938,0.5967,0.862
4.7,-0.1426,-0.2652,-0.2477,0.39
4.72,-0.5177,-0.0626,-0.8764,1.02
4.74,-0.3225,0.2294,-0.4084,0.569
4.76,1.1545,0.5925,-0.7674,1.508
4.78,2.9991,-0.1379,-1.0777,3.19
4.8,4.053,-1.1255,-2.8894,5.103
4.82,3.9904,-1.1362,-4.394,6.043
4.84,2.7406,0.155,-3.54,4.48
4.86,0.9208,1.3832,-1.945,2.558
4.88,-0.438,1.4821,-0.5874,1.653
4.9,-0.8752,0.3998,-0.1185,0.969
4.92,0.2554,-0.9453,-0.3893,1.054
4.94,1.6691,-1.0368,-0.4851,2.024
4.96,2.3134,-0.4348,-0.6096,2.432
4.98,2.0182,0.0981,-0.6156,2.112
5.0,1.3746,0.2905,-0.4296,1.469
5.02,0.4386,0.326,0.0796,0.552
5.04,-0.5525,0.4879,0.6552,0.986
5.06,-1.4872,0.3832,0.7265,1.699
5.08,-1.433,0.0173,0.5326,1.529
5.1,-1.158,-0.2672,0.2774,1.22
5.12,-1.1721,-0.4397,0.4465,1.329
5.14,-1.6178,-0.7558,0.6979,1.917
5.16,-2.2304,-1.0078,1.1788,2.717
5.18,-2.4482,-1.1407,1.5561,3.117
5.2,-2.3773,-0.9267,1.6848,3.058
5.22,-2.6666,-0.3776,1.5371,3.101
5.24,-2.6603,-0.246,1.5423,3.085
5.26,-1.9696,-0.4724,1.2474,2.379
5.28,-1.3725,-0.3851,0.5882,1.542
5.3,-1.2213,-0.0341,0.3231,1.264
5.32,-0.3755,-0.152,0.2148,0.459
5.34,0.1632,-0.3355,0.4476,0.583
5.36,0.477,-0.5889,0.3804,0.848
5.38,0.3184,-0.6298,0.0671,0.709
5.4,-0.0092,-0.1993,0.2262,0.302
5.42,-0.3599,0.1389,0.335,0.511
5.44,-0.3721,0.2737,0.5038,0.683
5.46,-0.2913,0.1902,0.2624,0.436
5.48,-0.1865,0.2596,0.2761,0.422
5.5,-0.2853,0.1264,0.3845,0.495
5.52,-0.3752,-0.1299,0.5141,0.65
5.54,-0.1367,-0.3946,0.2358,0.48
5.56,0.2624,-0.3213,-0.4375,0.603
5.58,1.4644,-0.0556,0.0977,1.469
5.6,3.3423,-0.401,-1.2571,3.593
5.62,4.4013,0.8305,-3.2442,5.53
5.64,4.4168,2.152,-2.6482,5.581
5.66,2.8708,1.6806,-1.4116,3.614
5.68,1.53,0.3031,-1.2705,2.012
